case_id,year,program_area,region,case_text,benchmark_mismatch,benchmark_type,placement_score
1,2024,training voucher,South,"Workforce case note for training voucher. Counselor summary: license bridge, paperwork credential pending. Participant is considering office administration placement.",1,credential_gap,2.5355
2,2024,union pathway,South,"Workforce case note for union pathway. Counselor summary: schedule aligned, ready for placement. Participant is considering office administration placement.",0,none,3.1709
3,2024,community college,Midwest,"Workforce case note for community college. Counselor summary: no training barrier, schedule aligned. Participant is considering office administration placement.",0,none,2.727
4,2025,training voucher,Midwest,Workforce case note for training voucher. Counselor summary: credential bridge. Participant is considering public service placement.,1,credential_gap,2.4226
5,2025,union pathway,South,"Workforce case note for union pathway. Counselor summary: could benefit from coaching, bus route barrier. Participant is considering public service placement.",1,schedule_gap,2.5935
6,2024,city contractor,West,"Workforce case note for city contractor. Counselor summary: digital intake coaching, rapid upskilling. Participant is considering office administration placement.",1,skill_gap,2.8669
7,2024,workforce agency,Northeast,Workforce case note for workforce agency. Counselor summary: credential verified. Participant is considering office administration placement.,0,none,3.355
8,2025,community college,Midwest,"Workforce case note for community college. Counselor summary: bus route barrier, wraparound schedule. Participant is considering logistics placement.",1,schedule_gap,2.6985
9,2025,city contractor,South,"Workforce case note for city contractor. Counselor summary: rapid upskilling, digital intake coaching. Participant is considering logistics placement.",1,skill_gap,2.2637
10,2024,union pathway,Midwest,"Workforce case note for union pathway. Counselor summary: credential bridge, license bridge. Participant is considering public service placement.",1,credential_gap,2.8687
11,2025,union pathway,Northeast,"Workforce case note for union pathway. Counselor summary: bridge credential, rapid upskilling. Participant is considering office administration placement.",1,skill_gap,2.7708
12,2024,workforce agency,South,Workforce case note for workforce agency. Counselor summary: rapid upskilling. Participant is considering public service placement.,1,skill_gap,2.4249
13,2025,city contractor,West,"Workforce case note for city contractor. Counselor summary: paperwork credential pending, license bridge. Participant is considering public service placement.",1,credential_gap,2.2073
14,2025,community college,South,"Workforce case note for community college. Counselor summary: informal experience, no training barrier, skills aligned. Participant is considering public service placement.",0,none,2.3527
15,2025,union pathway,South,"Workforce case note for union pathway. Counselor summary: digital intake coaching, partial fit, bridge credential. Participant is considering public service placement.",1,skill_gap,2.4207
